Ticker;Company Name;Beyond;News;Dnews;Date of annoucement ;recources;D1;D2;D3;D5;D10;D20;Beta;M1;M2;M3;M5;M10;M20
ACIW;ACI Worldwide;Y;G;EG;02/11/2023;Bloomberg;0,13784585;0,046026921;0,00041511;-0,005693371;-0,021412472;0,002955301;1,0914;0,01916434;0,00912341;0,00230049;0,000732383;0,002117086;0,003937441
AMR;Alpha Metallurgical Resources;N;B;B;02/11/2023;Bloomberg;-0,024127126;0,008256502;-0,007324508;0,074385355;-0,003201708;-0,003259334;0,876;0,01916434;0,00912341;0,00230049;0,000732383;0,002117086;0,003937441
ENV;Envestnet;Y;G;EG;08/11/2023;Bloomberg;-0,01124477;-0,086749537;0,00086881;0,057228018;-0,056990881;-0,039657283;0,9675;0,000732383;-0,007798742;0,015604831;0,019400713;-0,002179369;-0,004029785
VICR;Vicor Corporation;Y;G;EG;24/10/2023;Bloomberg;-0,000375869;-0,265839444;0,022791293;-0,01774273;-0,005616543;0,020382166;1,7647;0,007539362;-0,014352147;-0,011974614;0,011955781;0,00230049;0,007697598
OGN;Organon & Co.;Y;B;EB;02/11/2023;Bloomberg;-0,105119454;0,014492754;-0,055639098;-0,011281225;0,008726003;0,009734513;0,7326;0,01916434;0,00912341;0,00230049;0,000732383;0,002117086;0,003937441
KLG;WK Kellogg Co;N;B;B;09/11/2023;Bloomberg;-0,031775701;0,021235521;0,006616257;-0,001855288;-0,000843882;0,021182701;0,1604;-0,007798742;0,015604831;-0,000953224;0,002117086;0,003860833;0,007630398
KSS;Kohl's;Y;B;EB;23/08/2023;https://finance.yahoo.com/news/kohls-reports-third-quarter-fiscal-120000225.html;0,050524679;-0,050684425;-0,069368667;0,031031808;-0,050321604;0,017723881;1,4823;0,011137738;-0,013859107;0,007049829;0,014454784;-0,006722465;-0,009193377
HAYW;Hayward Holdings;N;B;B;31/10/2023;Bloomberg;-0,086956522;0,00952381;0,04245283;-0,041292639;-0,020947177;0,000839631;1,3934;0,006280228;0,010664754;0,01916434;0,00230049;-0,000953224;0,000990143
APLE;Apple Hospitality REIT;Y;G;EG;07/11/2023;Bloomberg;-0,005369928;-0,054589082;-0,010152284;0,003778338;0,003032141;0,002369668;0,9791;0,00284606;0,000732383;-0,007798742;-0,000953224;0,007697598;-0,00019707
LBRT;Liberty Energy;Y;G;EG;19/10/2023;Bloomberg;0,068947906;-0,009555662;-0,004823927;-0,017039922;0,01319797;-0,013071895;1,0341;-0,008786407;-0,012288066;-0,001733185;-0,014352147;0,010664754;0,002117086
BXMT;Blackstone Mortgage Trust;Y;G;EG;25/10/2023;Bloomberg;-0,02039801;0,008125952;-0,020151134;0,007067138;0,002343018;-0,021371327;0,9403;-0,014352147;-0,011974614;-0,004532784;0,006280228;0,00284606;-0,002179369
HASI;Hannon Armstrong;Y;G;EG;02/11/2023;Bloomberg;0,063950198;0,157446809;-0,064797794;-0,002970297;0,032;-0,000831255;1,3976;0,01916434;0,00912341;0,00230049;0,000732383;0,002117086;0,003937441
JBLU;JetBlue;Y;B;EB;31/10/2023;Bloomberg;-0,104761905;-0,018617021;0,062330623;-0,020501139;0,025839793;-0,018867925;1,4791;0,006280228;0,010664754;0,01916434;0,00230049;-0,000953224;0,000990143
TRIP;TripAdvisor;Y;G;EG;08/11/2023;Bloomberg;-0,023489933;-0,026918671;0,022366098;0,040303738;-0,007816571;-0,018774158;1,309;0,000732383;-0,007798742;0,015604831;0,019400713;-0,002179369;-0,004029785
HIW;Highwoods Properties;Y;G;EG;26/10/2023;Bloomberg;0,01995439;-0,005030743;0,006179775;0,007266629;-0,012137203;0,00166205;0,9391;-0,011974614;-0,004532784;0,011955781;0,010664754;0,000732383;0,003860833
XRX;Xerox;Y;B;EB;24/10/2023;Bloomberg;-0,068249258;-0,037022293;0,011988425;0,006562756;-0,020729092;-0,010893246;1,1485;0,007539362;-0,014352147;-0,011974614;0,011955781;0,00230049;0,007697598
ENR;Energizer;Y;B;EB;08/08/2023;Bloomberg;-0,091613617;0,068251066;-0,027381631;-0,00315729;-0,018481086;0;0,7144;-0,004348694;-0,006685237;0,000358946;0,005520027;0,0065063;-0,004321904
CATY;Cathay Bank;N;B;B;23/10/2023;https://finance.yahoo.com/news/cathay-general-bancorp-announces-third-203000530.html;-0,001498801;-0,009006304;-0,005755832;-0,005349183;0,037336305;0,013286334;0,9871;-0,001733185;0,007539362;-0,014352147;-0,004532784;0,00912341;0,001243809
SXT;Sensient Technologies;N;G;G;20/10/2023;https://finance.yahoo.com/news/sensient-technologies-corp-sxt-reports-134004254.html;0,024737498;-0,014414727;-0,014096916;0,014777437;0,02302338;0,003264773;0,8682;-0,012288066;-0,001733185;0,007539362;-0,011974614;0,01916434;0,001223092
PZZA;Papa John's;N;G;G;02/11/2023;https://finance.yahoo.com/news/papa-johns-announces-third-quarter-110000700.html;-0,035391451;0,080050826;0,002205882;-0,014934201;0,035580243;-0,008474576;0,9502;0,01916434;0,00912341;0,00230049;0,000732383;0,002117086;0,003937441
OMCL;Omnicell;N;B;B;02/11/2023;https://finance.yahoo.com/news/omnicell-inc-omcl-reports-q3-141246354.html;-0,182555214;0,041039672;-0,030551905;0,00422215;0,010889292;0,003178272;1,1392;0,01916434;0,00912341;0,00230049;0,000732383;0,002117086;0,003937441
NWL;Newell Brands;Y;B;EB;28/08/2023;https://finance.yahoo.com/news/newell-brands-inc-nwl-q3-135449018.html;0,016585366;0,001919386;0,014367816;0,012287335;-0,021653543;-0,011025358;0,9851;0,006341341;0,014454784;0,0041188;0,001865216;0,006576585;0,004205195
LNC;Lincoln National;Y;B;EB;01/11/2023;https://finance.yahoo.com/news/lincoln-national-corp-lnc-reports-213255184.html;-0,015158475;0,078358209;0,062283737;-0,032759345;0,062185642;-0,004154549;1,5415;0,010664754;0,01916434;0,00912341;0,00284606;0,019400713;-0,000703405
JXN;Jackson Financial;N;B;B;08/11/2023;https://finance.yahoo.com/news/jackson-announces-third-quarter-2023-211500001.html;-0,020130851;0,121982537;0,005264363;0,041194168;-0,00761035;-0,014583333;1,5049;0,000732383;-0,007798742;0,015604831;0,019400713;-0,002179369;-0,004029785
GSHD;Goosehead Insurance;Y;G;EG;25/10/2023;https://finance.yahoo.com/news/goosehead-insurance-inc-gshd-reports-215427131.html;-0,041702128;-0,016577857;-0,014148104;-0,002153515;0,006464306;-0,024876982;1,9189;-0,014352147;-0,011974614;-0,004532784;0,006280228;0,00284606;-0,002179369
AAP;Advance Auto Parts;Y;G;EG;23/08/2023;https://finance.yahoo.com/news/advance-auto-parts-reports-second-103000616.html;0,031185031;-0,02203341;-0,056398174;0,019960384;-0,001330377;0,025790922;0,8972;0,011137738;-0,013859107;0,007049829;0,014454784;-0,006722465;-0,009193377
STAA;Staar Surgical;N;G;G;02/11/2023;https://finance.yahoo.com/news/q3-2023-staar-surgical-co-132311601.html#:~:text=Total%20net%20sales%20for%20Q3,decrease%20in%20other%20product%20sales.;-0,168744229;0,049986115;-0,087542978;-0,034591195;0,000277469;-0,011260557;1,7713;0,01916434;0,00912341;0,00230049;0,000732383;0,002117086;0,003937441
MRCY;Mercury Systems;Y;G;EG;02/05/2023;https://finance.yahoo.com/news/mercury-systems-reports-third-quarter-200100209.html;-0,028534649;-0,173144876;0,045940171;-0,015695067;0,019688867;0;0,7819;-0,0112392;-0,006863986;-0,007082986;0,000266583;0,003450035;0,000380934
MSGS;Madison Square Garden Sports;Y;G;EG;04/05/2023;https://finance.yahoo.com/news/madison-square-garden-sports-corp-113000502.html;0,032432165;-0,010455134;-0,01017787;-0,029136421;-0,009507117;0,005063723;0,5419;-0,007082986;0,018512576;0,000266583;0,004672329;0,01213894;0,009501017
FTRE;Fortrea Holdings;Y;G;EG;13/11/2023;https://finance.yahoo.com/news/fortrea-reports-third-quarter-2023-113000256.html#:~:text=Third%20Quarter%202023%20Financial%20Results&text=Revenue%20for%20Clinical%20Services%20was,earnings%20per%20share%20of%20%240.68.;0,096065225;0,050452781;0,006157635;-0,016954377;0,01826484;-0,013196009;0,6083;-0,000953224;0,019400713;0,002117086;0,001243809;-0,00180101;
PHIN;PHINIA;N;G;G;06/11/2023;https://finance.yahoo.com/news/phinia-inc-reports-q3-2023-131440459.html;-0,018317757;-0,011424219;-0,053929122;0,015873016;0,008573655;0,048627451;0,5497;0,00230049;0,00284606;0,000732383;0,015604831;0,001243809;-0,005249401
ABR;Arbor Realty Trust;Y;G;EG;27/10/2023;https://finance.yahoo.com/news/arbor-realty-trust-reports-third-121500274.html;-0,016393443;-0,011904762;0,012851406;0,074193548;-0,018320611;0;1,0044;-0,004532784;0,011955781;0,006280228;0,01916434;-0,007798742;0,000615358
DISH;Dish Network;N;B;B;06/11/2023;https://finance.yahoo.com/news/dish-network-reports-third-quarter-110500178.html;-0,37431694;0,023289665;0,038406828;0;0,075301205;0,071038251;1,6505;0,00230049;0,00284606;0,000732383;0,015604831;0,001243809;-0,005249401
NAVI;Navient;Y;B;EB;25/10/2023;https://finance.yahoo.com/news/navient-corporation-nasdaq-navi-q3-131549540.html;-0,056691993;-0,006505576;-0,01777362;0,000628931;-0,000584795;-0,021867612;1,1322;-0,014352147;-0,011974614;-0,004532784;0,006280228;0,00284606;-0,002179369
SITM;SiTime;Y;G;EG;01/11/2023;https://finance.yahoo.com/news/sitime-reports-third-quarter-2023-200500982.html;-0,030561122;0,119586563;0,034988922;-0,024947068;0,079461531;-0,023043897;2,5005;0,010664754;0,01916434;0,00912341;0,00284606;0,019400713;-0,000703405
